S.N.,Station Name,Index No.,Basin Office,Types of Station,District,Latitude(°),Longitude(°),Elevation (meter),
1,OKHALDHUNGA,1206,K,SYNOPTIC,Okhaldhunga,27.31666667,86.5,1720,
2,KHOTANG BAZAR,1211,K,PRECIPITATION,Khotang,27.03333333,86.83333333,1295,
3,SIRAHA,1216,B,PRECIPITATION,Siraha,26.65,86.21666667,102,
4,RAJBIRAJ,1223,K,CLIMATOLOGY,Saptari,26.55,86.75,91,
5,BARMAJHIYA,1226,K,PRECIPITATION,Saptari,26.6,86.9,85,
6,CHAINPUR (EAST),1303,K,CLIMATOLOGY,Sankhuwasabha,27.28333333,87.33333333,1329,
7,PAKHRIBAS,1304,K,AGROMETEOROLOGY,Dhankuta,27.05,87.28333333,1680,
8,DHANKUTA,1307,K,SYNOPTIC,Dhankuta,26.98333333,87.35,1210,
9,BIRATNAGAR AIRPOART,1319,K,AERONATICAL,Morang,26.48333333,87.26666667,72,
10,TARAHARA,1320,K,AGROMETEOROLOGY,Sunsari,26.7,87.26666667,200,
11,DINGLA,1325,K,PRECIPITATION,Bhojpur,27.36666667,87.15,1190,
12,TAPLEJUNG,1405,K,SYNOPTIC,Taplejung,27.35,87.66666667,1732,
13,ILAM TEA ESTATE,1407,K,AGROMETEOROLOGY,Ilam,26.91666667,87.9,1300,
14,DAMAK,1408,K,PRECIPITATION,Jhapa,26.66666667,87.7,163,
15,ANARMANI BIRTA,1409,K,PRECIPITATION,Jhapa,26.63333333,87.98333333,122,
16,CHANDRA GADHI,1412,K,PRECIPITATION,Jhapa,26.56666667,88.05,120,
17,PHIDIM (PANCHTHER),1419,K,CLIMATOLOGY,Panchther,27.15,87.75,1205,
18,KANYAM TEA ESTATE,1416,K,CLIMATOLOGY,Ilam,26.86666667,88.06666667,1678, 